iter	Passed	Remaining
473	677	752
474	679	750
475	680	749
476	682	748
477	683	746
478	684	744
479	685	742
480	686	741
481	687	739
482	689	737
483	690	735
484	691	734
485	692	732
486	693	730
487	694	729
488	696	727
489	697	725
490	698	723
491	699	722
492	700	720
493	701	718
494	702	716
495	703	715
496	704	713
497	705	711
498	706	709
499	708	708
500	709	706
501	710	704
502	711	703
503	712	701
504	713	699
505	714	697
506	716	696
507	717	694
508	718	692
509	719	691
510	720	689
511	721	687
512	722	686
513	723	684
514	725	682
515	726	681
516	727	679
517	728	677
518	729	676
519	730	674
520	731	672
521	732	671
522	733	669
523	735	667
524	736	666
525	737	664
526	738	662
527	739	661
528	740	659
529	741	657
530	743	656
531	744	654
532	745	653
533	746	651
534	747	649
535	748	648
536	749	646
537	751	645
538	752	643
539	754	642
540	755	640
541	756	639
542	757	637
543	758	636
544	759	634
545	761	632
546	762	631
547	763	629
548	764	628
549	765	626
550	766	624
551	767	623
552	768	621
553	770	620
554	771	618
555	772	617
556	773	615
557	774	613
558	775	612
559	777	610
560	778	608
561	779	607
562	780	606
563	781	604
564	783	602
565	784	601
566	785	599
567	786	598
568	787	596
569	788	595
570	789	593
571	791	591
572	792	590
573	793	589
574	795	587
575	796	586
576	797	584
577	799	583
578	800	581
579	801	580
580	802	578
581	803	577
582	804	575
583	805	574
584	806	572
585	808	570
586	809	569
587	810	567
588	811	566
589	812	564
590	813	563
591	815	561
592	816	560
593	817	558
594	818	557
595	819	555
596	820	553
597	821	552
598	822	550
599	824	549
600	825	547
601	826	546
602	827	544
603	828	543
604	829	541
605	831	540
606	832	538
607	833	537
608	834	535
609	835	534
610	836	532
611	837	530
612	838	529
613	839	527
614	840	526
615	841	524
616	843	523
617	844	521
618	845	520
619	846	519
620	847	517
621	848	515
622	850	514
623	851	512
624	852	511
625	853	509
626	854	508
627	855	506
628	856	505
629	857	503
630	858	502
631	860	500
632	861	499
633	862	497
634	863	496
635	864	494
636	865	493
637	866	491
638	868	490
639	869	488
640	870	487
641	871	485
642	872	484
643	873	483
644	874	481
645	876	480
646	877	478
647	878	477
648	879	475
649	880	474
650	881	472
651	883	471
652	884	469
653	885	468
654	886	466
655	887	465
656	889	464
657	890	463
658	891	461
659	893	460
660	894	458
661	895	457
662	896	455
663	897	454
664	898	452
665	899	451
666	900	449
667	902	448
668	903	446
669	904	445
670	905	444
671	906	442
672	907	441
673	909	439
674	910	438
675	911	436
676	912	435
677	913	433
678	914	432
679	915	430
680	916	429
681	917	428
682	919	426
683	920	425
684	921	423
685	922	422
686	923	420
687	924	419
688	925	417
689	926	416
690	928	415
691	929	413
692	930	412
693	931	410
694	932	409
695	933	407
696	934	406
697	936	405
698	937	403
699	938	402
700	939	400
701	940	399
702	941	397
703	943	396
704	944	395
705	945	393
706	946	392
707	947	390
708	948	389
709	949	387
710	950	386
711	952	385
712	953	383
713	954	382
714	955	380
715	956	379
716	957	378
717	959	376
718	960	375
719	961	373
720	962	372
721	963	371
722	964	369
723	965	368
724	967	366
725	968	365
726	969	364
727	970	362
728	971	361
729	972	359
730	973	358
731	974	356
732	975	355
733	977	354
734	978	352
735	979	351
736	980	349
737	981	348
738	982	347
739	983	345
740	985	344
741	986	342
742	987	341
743	988	340
744	990	338
745	991	337
746	992	336
747	993	334
748	995	333
749	996	332
750	997	330
751	998	329
752	999	327
753	1001	326
754	1002	325
755	1003	323
756	1004	322
757	1005	320
758	1006	319
759	1007	318
760	1008	316
761	1009	315
762	1010	314
763	1012	312
764	1013	311
765	1014	309
766	1015	308
767	1016	307
768	1017	305
769	1019	304
770	1020	303
771	1021	301
772	1022	300
773	1023	298
774	1024	297
775	1025	296
776	1026	294
777	1028	293
778	1029	292
779	1030	290
780	1031	289
781	1032	287
782	1033	286
783	1034	285
784	1035	283
785	1037	282
786	1038	281
787	1039	279
788	1040	278
789	1041	276
790	1043	275
791	1044	274
792	1045	272
793	1046	271
794	1047	270
795	1048	268
796	1049	267
797	1051	266
798	1052	264
799	1053	263
800	1054	261
801	1055	260
802	1056	259
803	1058	258
804	1059	256
805	1060	255
806	1061	253
807	1062	252
808	1064	251
809	1065	249
810	1066	248
811	1067	247
812	1068	245
813	1069	244
814	1070	243
815	1072	241
816	1073	240
817	1074	239
818	1075	237
819	1076	236
820	1077	235
821	1079	233
822	1080	232
823	1081	230
824	1082	229
825	1083	228
826	1084	226
827	1085	225
828	1086	224
829	1088	222
830	1089	221
831	1090	220
832	1091	218
833	1092	217
834	1093	216
835	1094	214
836	1096	213
837	1097	212
838	1097	210
839	1098	209
840	1099	207
841	1101	206
842	1102	205
843	1103	203
844	1104	202
845	1105	201
846	1106	199
847	1108	198
848	1109	197
849	1110	195
850	1111	194
851	1112	193
852	1113	191
853	1114	190
854	1116	189
855	1117	187
856	1118	186
857	1119	185
858	1120	183
859	1121	182
860	1122	181
861	1123	179
862	1125	178
863	1126	177
864	1127	175
865	1128	174
866	1130	173
867	1132	172
868	1133	170
869	1135	169
870	1136	168
871	1137	166
872	1138	165
873	1139	164
874	1141	163
875	1142	161
876	1143	160
877	1144	159
878	1145	157
879	1146	156
880	1148	155
881	1149	153
882	1150	152
883	1151	151
884	1152	149
885	1153	148
886	1155	147
887	1156	145
888	1157	144
889	1158	143
890	1159	141
891	1161	140
892	1162	139
893	1163	137
894	1164	136
895	1165	135
896	1167	134
897	1168	132
898	1169	131
899	1170	130
900	1171	128
901	1172	127
902	1173	126
903	1175	124
904	1176	123
905	1177	122
906	1178	120
907	1179	119
908	1180	118
909	1181	116
910	1183	115
911	1184	114
912	1185	112
913	1186	111
914	1187	110
915	1188	109
916	1189	107
917	1191	106
918	1192	105
919	1193	103
920	1194	102
921	1195	101
922	1196	99
923	1197	98
924	1199	97
925	1200	95
926	1201	94
927	1202	93
928	1203	91
929	1204	90
930	1205	89
931	1206	88
932	1207	86
933	1209	85
934	1210	84
935	1211	82
936	1212	81
937	1214	80
938	1215	78
939	1216	77
940	1217	76
941	1218	75
942	1219	73
943	1220	72
944	1221	71
945	1222	69
946	1223	68
947	1225	67
948	1226	65
949	1227	64
950	1228	63
951	1229	62
952	1230	60
953	1232	59
954	1233	58
955	1234	56
956	1235	55
957	1236	54
958	1237	52
959	1238	51
960	1239	50
961	1240	49
962	1242	47
963	1243	46
964	1244	45
965	1245	43
966	1246	42
967	1247	41
968	1248	39
969	1249	38
970	1250	37
971	1251	36
972	1252	34
973	1253	33
974	1255	32
975	1256	30
976	1257	29
977	1259	28
978	1260	27
979	1261	25
980	1262	24
981	1263	23
982	1264	21
983	1265	20
984	1266	19
985	1267	18
986	1268	16
987	1270	15
988	1272	14
989	1274	12
990	1275	11
991	1276	10
992	1277	9
993	1279	7
994	1280	6
995	1281	5
996	1282	3
997	1283	2
998	1284	1
999	1286	0
